Date,TZ,City,Code,Load
12/02/2020 02:15:00,EST,N.Y.C.,61761,4162.3965
12/02/2020 02:20:00,EST,N.Y.C.,61761,4145.928
12/02/2020 02:25:00,EST,N.Y.C.,61761,4150.1978
12/02/2020 02:30:00,EST,N.Y.C.,61761,4150.8364
12/02/2020 02:35:00,EST,N.Y.C.,61761,4130.997
12/02/2020 02:40:00,EST,N.Y.C.,61761,4126.0107
12/02/2020 02:45:00,EST,N.Y.C.,61761,4133.371
12/02/2020 02:50:00,EST,N.Y.C.,61761,4107.4165
12/02/2020 02:55:00,EST,N.Y.C.,61761,4095.1477
12/02/2020 03:00:00,EST,N.Y.C.,61761,4090.0225
12/02/2020 03:05:00,EST,N.Y.C.,61761,4098.0483
12/02/2020 03:10:00,EST,N.Y.C.,61761,4085.0137
12/02/2020 03:15:00,EST,N.Y.C.,61761,4105.5527
12/02/2020 03:20:00,EST,N.Y.C.,61761,4101.3613
12/02/2020 03:25:00,EST,N.Y.C.,61761,4095.1208
12/02/2020 03:30:00,EST,N.Y.C.,61761,4116.6064
12/02/2020 03:35:00,EST,N.Y.C.,61761,4105.6025
12/02/2020 03:40:00,EST,N.Y.C.,61761,4113.6714
12/02/2020 03:45:00,EST,N.Y.C.,61761,4085.2473
12/02/2020 03:50:00,EST,N.Y.C.,61761,4081.0469
12/02/2020 03:55:00,EST,N.Y.C.,61761,4089.6526
12/02/2020 04:00:00,EST,N.Y.C.,61761,4109.0215
12/02/2020 04:03:18,EST,N.Y.C.,61761,4101.725
12/02/2020 04:04:49,EST,N.Y.C.,61761,4082.811
12/02/2020 04:05:00,EST,N.Y.C.,61761,4084.9102
12/02/2020 04:10:00,EST,N.Y.C.,61761,4099.9473
12/02/2020 04:15:00,EST,N.Y.C.,61761,4109.05
12/02/2020 04:20:00,EST,N.Y.C.,61761,4087.17
12/02/2020 04:25:00,EST,N.Y.C.,61761,4095.3765
12/02/2020 04:27:24,EST,N.Y.C.,61761,4109.325
12/02/2020 04:28:54,EST,N.Y.C.,61761,4116.0723
